index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
396,LAC,LAC @ OKC,03/16/2018,L,240,113,42,86,48.8,11,26,42.3,18,23,78.3,16,32,48,21,10,3,23,18,-8
397,DAL,DAL @ TOR,03/16/2018,L,265,115,48,91,52.7,6,22,27.3,13,18,72.2,6,30,36,25,7,5,12,27,-7
398,TOR,TOR vs. DAL,03/16/2018,W,265,122,43,91,47.3,10,30,33.3,26,31,83.9,12,33,45,26,5,8,14,21,7
399,ORL,ORL vs. BOS,03/16/2018,L,240,83,34,87,39.1,5,28,17.9,10,11,90.9,7,33,40,14,12,7,15,23,-9
400,BOS,BOS @ ORL,03/16/2018,W,240,92,31,82,37.8,9,26,34.6,21,28,75.0,16,39,55,16,7,6,19,17,9
401,MIA,MIA @ LAL,03/16/2018,W,240,92,36,94,38.3,10,36,27.8,10,14,71.4,12,31,43,23,14,6,11,18,1
402,LAL,LAL vs. MIA,03/16/2018,L,240,91,32,76,42.1,9,19,47.4,18,22,81.8,7,42,49,22,5,4,20,17,-1
403,SAC,SAC @ GSW,03/16/2018,W,240,98,36,83,43.4,14,31,45.2,12,17,70.6,11,36,47,25,7,4,14,16,5
404,GSW,GSW vs. SAC,03/16/2018,L,240,93,34,81,42.0,12,26,46.2,13,18,72.2,9,31,40,21,10,5,12,21,-5
405,BKN,BKN @ PHI,03/16/2018,L,240,116,40,89,44.9,15,30,50.0,21,27,77.8,11,36,47,25,4,5,12,22,-4
406,PHI,PHI vs. BKN,03/16/2018,W,240,120,43,95,45.3,12,27,44.4,22,26,84.6,13,29,42,30,9,3,5,21,4
407,CHI,CHI @ MEM,03/15/2018,W,240,111,35,80,43.8,15,41,36.6,26,33,78.8,8,34,42,23,10,2,15,23,1
408,MEM,MEM vs. CHI,03/15/2018,L,240,110,38,87,43.7,13,35,37.1,21,25,84.0,11,36,47,27,7,4,15,22,-1
409,DEN,DEN vs. DET,03/15/2018,W,240,120,43,85,50.6,12,28,42.9,22,28,78.6,10,35,45,26,7,8,16,15,7
410,DET,DET @ DEN,03/15/2018,L,240,113,44,92,47.8,14,27,51.9,11,17,64.7,9,32,41,30,8,4,11,20,-7
411,UTA,UTA vs. PHX,03/15/2018,W,240,116,42,97,43.3,12,36,33.3,20,32,62.5,14,39,53,29,12,8,7,20,28
412,PHX,PHX @ UTA,03/15/2018,L,240,88,32,83,38.6,7,16,43.8,17,24,70.8,9,42,51,14,4,4,22,25,-28
413,CHA,CHA @ ATL,03/15/2018,W,240,129,46,87,52.9,17,33,51.5,20,30,66.7,6,39,45,30,3,3,10,21,12
414,ATL,ATL vs. CHA,03/15/2018,L,240,117,42,90,46.7,16,36,44.4,17,26,65.4,6,40,46,30,5,2,12,27,-12
415,TOR,TOR @ IND,03/15/2018,W,240,106,35,79,44.3,12,32,37.5,24,28,85.7,18,39,57,20,4,8,21,19,7
416,IND,IND vs. TOR,03/15/2018,L,240,99,40,93,43.0,7,24,29.2,12,17,70.6,11,23,34,17,12,1,8,25,-7
417,CLE,CLE @ POR,03/15/2018,L,240,105,41,80,51.3,11,33,33.3,12,21,57.1,2,32,34,17,5,7,11,21,-8
418,POR,POR vs. CLE,03/15/2018,W,240,113,43,96,44.8,12,35,34.3,15,19,78.9,13,37,50,26,4,3,7,15,8
419,LAC,LAC @ HOU,03/15/2018,L,240,96,44,97,45.4,4,18,22.2,4,8,50.0,11,34,45,16,3,4,9,21,-5
420,HOU,HOU vs. LAC,03/15/2018,W,240,101,35,90,38.9,12,41,29.3,19,23,82.6,16,34,50,20,4,9,11,13,5
421,NYK,NYK vs. PHI,03/15/2018,L,240,110,45,87,51.7,5,20,25.0,15,24,62.5,8,36,44,26,8,4,13,25,-8
422,PHI,PHI @ NYK,03/15/2018,W,240,118,41,91,45.1,15,37,40.5,21,34,61.8,19,34,53,29,8,3,14,21,8
423,SAS,SAS vs. NOP,03/15/2018,W,240,98,37,99,37.4,7,26,26.9,17,19,89.5,15,37,52,16,10,11,11,14,5
424,NOP,NOP @ SAS,03/15/2018,L,240,93,36,90,40.0,6,16,37.5,15,16,93.8,12,41,53,18,7,7,16,18,-5
425,MIA,MIA @ SAC,03/14/2018,L,265,119,41,99,41.4,18,43,41.9,19,21,90.5,15,38,53,26,5,2,15,23,-4
426,SAC,SAC vs. MIA,03/14/2018,W,265,123,48,94,51.1,8,24,33.3,19,25,76.0,8,35,43,23,6,7,11,21,4
427,ORL,ORL vs. MIL,03/14/2018,W,240,126,44,87,50.6,18,34,52.9,20,23,87.0,9,33,42,31,10,4,18,16,9
428,MIL,MIL @ ORL,03/14/2018,L,240,117,49,98,50.0,10,24,41.7,9,12,75.0,9,28,37,28,12,5,11,20,-9
429,WAS,WAS @ BOS,03/14/2018,W,290,125,46,97,47.4,12,32,37.5,21,28,75.0,13,39,52,29,10,6,20,26,1
430,BOS,BOS vs. WAS,03/14/2018,L,290,124,48,99,48.5,12,26,46.2,16,23,69.6,10,34,44,30,9,5,17,22,-1
431,GSW,GSW vs. LAL,03/14/2018,W,240,117,44,81,54.3,6,20,30.0,23,28,82.1,11,39,50,25,8,6,21,24,11
432,LAL,LAL @ GSW,03/14/2018,L,240,106,38,84,45.2,12,38,31.6,18,28,64.3,7,28,35,24,11,8,14,19,-11
433,CHA,CHA @ NOP,03/13/2018,L,240,115,45,93,48.4,7,26,26.9,18,22,81.8,8,37,45,22,8,9,14,13,-4
434,NOP,NOP vs. CHA,03/13/2018,W,240,119,52,104,50.0,9,22,40.9,6,8,75.0,14,36,50,33,10,7,12,16,4
435,MIN,MIN @ WAS,03/13/2018,W,240,116,46,87,52.9,7,21,33.3,17,19,89.5,11,26,37,23,10,7,10,21,5
436,WAS,WAS vs. MIN,03/13/2018,L,240,111,42,82,51.2,8,20,40.0,19,25,76.0,14,25,39,26,6,4,11,17,-5
437,DET,DET @ UTA,03/13/2018,L,240,79,30,80,37.5,5,25,20.0,14,19,73.7,8,24,32,14,14,4,18,23,-31
438,UTA,UTA vs. DET,03/13/2018,W,240,110,42,76,55.3,13,34,38.2,13,23,56.5,11,41,52,29,10,5,24,22,31
439,ATL,ATL vs. OKC,03/13/2018,L,240,107,37,87,42.5,13,31,41.9,20,24,83.3,13,34,47,26,5,5,15,25,-12
440,OKC,OKC @ ATL,03/13/2018,W,240,119,42,89,47.2,16,35,45.7,19,25,76.0,9,29,38,27,9,11,8,21,12
441,TOR,TOR @ BKN,03/13/2018,W,240,116,44,91,48.4,11,31,35.5,17,21,81.0,13,40,53,27,7,6,11,20,14
442,BKN,BKN vs. TOR,03/13/2018,L,240,102,35,86,40.7,15,36,41.7,17,19,89.5,9,29,38,21,9,6,12,19,-14
443,CLE,CLE @ PHX,03/13/2018,W,240,129,43,87,49.4,17,35,48.6,26,30,86.7,5,39,44,25,12,9,20,25,22
444,PHX,PHX vs. CLE,03/13/2018,L,240,107,38,98,38.8,6,32,18.8,25,30,83.3,11,36,47,17,10,2,18,21,-22
445,DAL,DAL @ NYK,03/13/2018,W,240,110,40,89,44.9,14,35,40.0,16,18,88.9,12,28,40,22,11,1,12,15,13
446,NYK,NYK vs. DAL,03/13/2018,L,240,97,40,82,48.8,8,25,32.0,9,12,75.0,10,34,44,19,9,1,19,18,-13
447,CHI,CHI vs. LAC,03/13/2018,L,240,106,43,101,42.6,7,29,24.1,13,15,86.7,11,34,45,26,11,2,9,28,-6
448,LAC,LAC @ CHI,03/13/2018,W,240,112,37,76,48.7,8,29,27.6,30,41,73.2,6,36,42,27,4,5,14,14,6
449,LAL,LAL vs. DEN,03/13/2018,W,240,112,40,90,44.4,15,40,37.5,17,25,68.0,12,40,52,20,6,3,17,23,9
450,DEN,DEN @ LAL,03/13/2018,L,240,103,38,86,44.2,13,40,32.5,14,19,73.7,5,39,44,26,12,4,20,26,-9
451,ORL,ORL @ SAS,03/13/2018,L,240,72,28,82,34.1,7,23,30.4,9,9,100.0,9,32,41,16,5,3,21,19,-36
452,SAS,SAS vs. ORL,03/13/2018,W,240,108,40,84,47.6,9,19,47.4,19,23,82.6,11,37,48,24,10,7,13,13,36
453,PHI,PHI vs. IND,03/13/2018,L,240,98,35,75,46.7,10,30,33.3,18,22,81.8,7,41,48,24,3,7,21,25,-3
454,IND,IND @ PHI,03/13/2018,W,240,101,38,95,40.0,5,24,20.8,20,25,80.0,14,31,45,20,13,2,10,23,3
455,OKC,OKC vs. SAC,03/12/2018,W,240,106,38,84,45.2,16,36,44.4,14,18,77.8,5,38,43,21,5,6,11,15,5
456,SAC,SAC @ OKC,03/12/2018,L,240,101,38,93,40.9,12,33,36.4,13,16,81.3,13,36,49,21,8,6,11,22,-5
457,MIL,MIL @ MEM,03/12/2018,W,240,121,47,81,58.0,12,25,48.0,15,22,68.2,11,36,47,33,6,5,19,22,18
458,MEM,MEM vs. MIL,03/12/2018,L,240,103,42,89,47.2,9,27,33.3,10,19,52.6,10,21,31,27,6,5,9,23,-18
459,MIA,MIA @ POR,03/12/2018,L,240,99,39,91,42.9,10,31,32.3,11,16,68.8,10,36,46,24,6,4,11,24,-16
460,POR,POR vs. MIA,03/12/2018,W,240,115,38,83,45.8,14,36,38.9,25,30,83.3,9,41,50,23,5,6,13,15,16
461,SAS,SAS @ HOU,03/12/2018,L,240,93,33,81,40.7,11,28,39.3,16,23,69.6,7,29,36,20,5,2,13,17,-16
462,HOU,HOU vs. SAS,03/12/2018,W,240,109,39,80,48.8,13,44,29.5,18,23,78.3,9,41,50,24,6,4,17,24,16
463,UTA,UTA @ NOP,03/11/2018,W,240,116,40,96,41.7,12,32,37.5,24,25,96.0,17,38,55,24,4,3,17,20,17
464,NOP,NOP vs. UTA,03/11/2018,L,240,99,41,93,44.1,6,21,28.6,11,13,84.6,10,28,38,28,7,14,13,25,-17
465,MIN,MIN vs. GSW,03/11/2018,W,240,109,44,95,46.3,6,20,30.0,15,21,71.4,13,37,50,27,7,3,10,15,6
