;TEAM;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;STL;BLK;TOV;PF;+/-
548;MEM;MEM @ POR;12/19/2018;L;240;92;33;78;42.3;9;27;33.3;17;19;89.5;11;25;36;22;12;10;14;21;-7
549;POR;POR vs. MEM;12/19/2018;W;240;99;35;75;46.7;11;26;42.3;18;20;90.0;12;31;43;16;9;4;21;23;7
550;ORL;ORL vs. SAS;12/19/2018;L;240;90;34;89;38.2;12;31;38.7;10;17;58.8;11;22;33;19;5;3;13;18;-39
551;SAS;SAS @ ORL;12/19/2018;W;240;129;50;77;64.9;12;19;63.2;17;21;81.0;4;41;45;29;5;4;11;15;39
552;HOU;HOU vs. WAS;12/19/2018;W;240;136;47;85;55.3;26;55;47.3;16;21;76.2;8;33;41;30;8;2;17;21;18
553;WAS;WAS @ HOU;12/19/2018;L;240;118;45;84;53.6;10;30;33.3;18;23;78.3;4;27;31;28;8;2;11;15;-18
554;BOS;BOS vs. PHX;12/19/2018;L;240;103;38;85;44.7;15;39;38.5;12;14;85.7;9;28;37;26;13;15;16;17;-8
555;PHX;PHX @ BOS;12/19/2018;W;240;111;41;96;42.7;11;27;40.7;18;22;81.8;21;35;56;23;8;6;17;19;8
556;CHI;CHI vs. BKN;12/19/2018;L;240;93;40;91;44.0;6;19;31.6;7;10;70.0;9;30;39;21;7;5;9;22;-3
557;BKN;BKN @ CHI;12/19/2018;W;240;96;34;74;45.9;8;25;32.0;20;25;80.0;7;38;45;23;3;2;14;14;3
558;PHI;PHI vs. NYK;12/19/2018;W;240;131;47;88;53.4;15;30;50.0;22;25;88.0;9;42;51;31;6;4;10;22;22
559;NYK;NYK @ PHI;12/19/2018;L;240;109;37;86;43.0;10;31;32.3;25;31;80.6;4;31;35;22;2;2;8;19;-22
560;DEN;DEN vs. DAL;12/18/2018;W;240;126;50;90;55.6;12;29;41.4;14;18;77.8;12;35;47;33;7;3;16;28;8
561;DAL;DAL @ DEN;12/18/2018;L;240;118;40;86;46.5;15;37;40.5;23;30;76.7;6;27;33;26;8;1;8;17;-8
562;WAS;WAS @ ATL;12/18/2018;L;240;110;36;83;43.4;13;40;32.5;25;36;69.4;9;28;37;26;14;1;15;32;-8
563;ATL;ATL vs. WAS;12/18/2018;W;240;118;37;79;46.8;12;32;37.5;32;39;82.1;13;36;49;23;4;5;24;29;8
564;IND;IND vs. CLE;12/18/2018;L;240;91;37;93;39.8;4;22;18.2;13;21;61.9;14;38;52;21;7;9;9;12;-1
565;CLE;CLE @ IND;12/18/2018;W;240;92;38;91;41.8;6;31;19.4;10;13;76.9;12;39;51;19;7;5;12;16;1
